"STÜVA in der Krone, Via Cumünela 2, La Punt-Chamues-ch, 7522, 瑞士"
"Wiesner Mysterion, Bramboden 6, Romoos, 6167, 瑞士"
"Agorà,Via Muro degli Ottevi 10, Brissago, 6614, 瑞士"
"Grotto della Salute,Via dei Sindacatori 2A, Massagno, 6900, 瑞士"
"Multertor,Am Multertor, Sankt Gallen, 9000, 瑞士"
"DAR,Gasometerstrasse 5, Zürich, 8005, 瑞士"
"Alpenblick, Dorfstr. 9, Adelboden, 3715, 瑞士"
"Postigliun,Via Principala 41, Andiast, 7159, 瑞士"
"Natürlich,Rue de la Coulouvrenière 38, Genève, 1204, 瑞士"
"Gül,Tellstrasse 22, Zürich, 8004, 瑞士"
"Le Lab by Adel & Niko,Route de la Crottaz 5, Corseaux, 1802, 瑞士"
"AuGust,Rennweg 7, Zürich, 8001, 瑞士"
"Fischerstube,Marktgasse 9, Weesen, 8872, 瑞士"
"Njørd café,Place du Marché 15, Aubonne, 1170, 瑞士"
"Asia,Via Moscia 4, Ascona, 6612, 瑞士"
"Bazaar,Riedweg 156, Zermatt, 3920, 瑞士"
"Lokal, Albrecht-Haller-Strasse 2, Biel, 2502, 瑞士"
"SALZANO,Seestrasse 108, Interlaken, 3800, 瑞士"
"Birdy's by Achtien,Axenstrasse 9, Brunnen, 6440, 瑞士"
"Alpenblick, Oberdorfstrasse 3, Wilderswil, 3812, 瑞士"
"Ô Bois Sauvage,Chemin des Mélèzes 26, Hérémence, 1987, 瑞士"
"Ivy 23,Rue Ancienne 23, Carouge, 1227, 瑞士"
"Zum Wilde Maa,Oetlingerstrasse 165, Basel, 4057, 瑞士"
"Stadthaus,Kirchbühl 2, Burgdorf, 3400, 瑞士"
"Bistrot du Lion d'Or,Rue Ancienne 53, Carouge, 1227, 瑞士"
"L'Agape,Rue Caroline 11, Genève, 1227, 瑞士"
"Blume,Freudwilerstrasse 6, Uster, 8615, 瑞士"
"Château de Pleujouse,Le Château 18, Pleujouse, 2953, 瑞士"
"Rathauskeller Bistro, Ober-Altstadt 1, Zug, 6300, 瑞士"
"16 ART, Mittelgässli 16, Saanen, 3792, 瑞士"
"PINOT,Steigstrasse 12, Fläsch, 7306, 瑞士"
"Casa Casutt, Glennerstrasse 18, Ilanz, 7130, 瑞士"
"La Fleur de Sel,Rue du Temple 10, Cossonay, 1304, 瑞士"
"Bistrot Dumas,Avenue Dumas 7, Genève, 1206, 瑞士"
"Restaurant Schlüssel, Oberdorfstrasse 5, Mels, 8887, 瑞士"
"Sonne,Dorf 2, Ebersecken, 6245, 瑞士"
"Moosegg,Moosegg 231A, Emmenmatt, 3543, 瑞士"
"Zum Alten Stephan,Friedhofplatz 10, Solothurn, 4500, 瑞士"
"Centrale,via Locarno 2, Losone, 6616, 瑞士"
"Adler, Kappelmatt 1, Ried-Muotathal, 6436, 瑞士"
"Edo, Route Sierre-Montana 43, Crans-Montana, 3975, 瑞士"
"Wirtshus zum Wyberg, Oberteufenerstrasse 1, Freienstein-Teufen, 8428, 瑞士"
"Bistro by Regina Montium,Staffelhöhenweg 35, Rigi Kaltbad, 6356, 瑞士"
"Braui,Brauiplatz 5, Hochdorf, 6280, 瑞士"
"Kaiserstock,Dörfli 2, Riemenstalden, 6452, 瑞士"
"Panorama, Hartlisbergstrasse 39, Steffisburg, 3612, 瑞士"
"Landgasthof Ochsen,Dorfplatz 56, Wölflinswil, 5063, 瑞士"
"Gasthaus Schupfen,Steinerstrasse 501, Diessenhofen, 8253, 瑞士"
"Bacchus Bistro & Genussmanufaktur,Sempacherstrasse 1, Hildisrieden, 6024, 瑞士"
"Chez Philippe,Rue du Rhône 8, Genève, 1204, 瑞士"
"Chappeli,Allerheiligenstrasse 218, Grenchen, 2540, 瑞士"
"Auberge Communale, 78 rte des Deux-Villages, Saint-Légier, 1806, 瑞士"
"Hardern Pintli,Hardern 23, Lyss, 3250, 瑞士"
"Bären,Dorfplatz 4, Schwarzenburg, 3150, 瑞士"
"Le Café Valrose,Place de la Gare 2, Rougemont, 1659, 瑞士"
"Colani Bistrot,Via Principela 20A, Madulain, 7523, 瑞士"
"MIRADI,Untergstaadstrasse 26, Gstaad, 3780, 瑞士"
"Là, Rue du Village 21, Chardonne, 1803, 瑞士"
"Schüpbärg, Schüpberg 134, Schüpfen, 3053, 瑞士"
"SUAHOY, Rue Prévost-Martin 25, Genève, 1205, 瑞士"
"Gaijin Izakaya,Birmensdorferstrasse 5, Zürich, 8004, 瑞士"
"Barranco,Sihlfeldstrasse 141, Zürich, 8004, 瑞士"
"Myò Sushi Bar, Allée Ernest–Ansermet 1, Lausanne, 1003, 瑞士"
"Grotto Valmaggese,Via Vallemaggia 72, Avegno, 6670, 瑞士"
"Le Restaurant,Hauptgasse 64, Solothurn, 4500, 瑞士"
"Flamel,Piazza Cioccaro 5, Lugano, 6900, 瑞士"
"Le Bistro by Décotterd,Route de Glion 111, Montreux, 1823, 瑞士"
"au violon,Im Lohnhof 4, Basel, 4051, 瑞士"
"Auberge Communale Le Mont, Place du Petit Mont 4, Le Mont-sur-Lausanne, 1052, 瑞士"
"Muntanella,Innere Poststrasse 269, Arosa, 7050, 瑞士"
"Albrun,Binntalstrasse 24, Binn, 3996, 瑞士"
"Brasserie Le Gogant,Route de France 8, Le Brassus, 1348, 瑞士"
"Philipp Blaser,Obere Bahnhofstrasse 10, Frutigen, 3714, 瑞士"
"Nest, Talstrasse 16, Blatten im Lötschental, 3919, 瑞士"
"Alpenblick,Melchtalerstrasse 40, Sankt Niklausen, 6066, 瑞士"
"Les Curiades, Vieux-Lully 10, Bernex, 1233, 瑞士"
"La Bottega di Mario,Nüschelerstrasse 6, Zürich, 8001, 瑞士"
"D'Chuchi,Brunnengasse 3, Schaffhausen, 8200, 瑞士"
"Bauernschänke,Rindermarkt 24, Zürich, 8001, 瑞士"
"Stiva Grischuna,Via Cavardiras 3, Disentis, 7180, 瑞士"
"Golden Dragon,Talstrasse 3, Davos Platz, 7270, 瑞士"
"Anker,Dorf 10, Teufen, 9053, 瑞士"
"La Trattoria,Via Maistra 215, Pontresina, 7504, 瑞士"
"Didi's Frieden,Stampfenbachstrasse 32, Zürich, 8006, 瑞士"
"Gasthof zur Sonne,Seestrasse 37, Stäfa, 8712, 瑞士"
"Candela,Sonnenstrasse 5, Sankt Gallen, 9000, 瑞士"
"Eintracht,Neue Strasse 6, Kestenholz, 4703, 瑞士"
"Zum Pflugstein,Pflugsteinstrasse 71, Erlenbach, 8703, 瑞士"
"Café de Riex,Route de la Corniche 24, Riex, 1097, 瑞士"
"Casa Caminada,Obergass 68, Fürstenau, 7414, 瑞士"
"Alla Cantina,Piazza Gottardo Zurini 3, Tegna, 6652, 瑞士"
"Buech,Forchstrasse 267, Herrliberg, 8704, 瑞士"
"Café du Levant, Rue du Vieux Four 53, Aire-la-Ville, 1288, 瑞士"
"Netts Schützengarten,Sankt Jakob Strasse 35, Sankt Gallen, 9000, 瑞士"
"Pensiun Aldier,Plaz 154, Sent, 7554, 瑞士"
"Le Bologne,Rue Necker 9, Genève, 1201, 瑞士"
"Zer Schlucht, Blomattenweg 2, Saas-Fee, 3906, 瑞士"
"Gommerstuba,Ernerstrasse 53, Ernen, 3995, 瑞士"
"Collonge Café, Chemin du Château-de-Bellerive 3, Collonge-Bellerive, 1245, 瑞士"
"Bären,Halten 112, Grub, 9035, 瑞士"
"SALZHAUS,Landhausquai 15a, Solothurn, 4500, 瑞士"
"Osteria della Bottega,Grand Rue 3, Genève, 1204, 瑞士"
"Zum Kaiser Franz,Vorstadt 8, Zug, 6300, 瑞士"
"Dal Mulin,Plazza dal Mulin 4, Sankt Moritz, 7500, 瑞士"
"Mont, Route de la Télécabine 23, Haute-Nendaz, 1997, 瑞士"
"Linde,Niederrohrdorferstrasse 1, Fislisbach, 5442, 瑞士"
"Josef,Gasometerstrasse 24, Zürich, 8005, 瑞士"
"Rigiblick by Vreni Giger,Germaniastrasse 99, Zürich, 8044, 瑞士"
"Café de Peney, Route d'Aïre-La-Ville 130, Satigny, 1242, 瑞士"
"Balm, Balmstrasse 3, Meggen, 6045, 瑞士"
"Gasthof zum goldenen Kreuz,Zürcherstrasse 134, Frauenfeld, 8500, 瑞士"
