"Tasty Congee & Noodle Wantun Shop, ""S-B1-05, Stone Zone, Taikoo Li Qiantan, Lane 500, Dongyu Road, Pudong, Shanghai, 中國"""
"IRUCA TOKYO, ""4-12-12 Roppongi, Minato-ku, Tokyo, 106-0032, 日本"""
"Yakitori SANKA, ""2F, 64-4 Yaraicho, Shinjuku-ku, Tokyo, 162-0805, 日本"""
"wokotote, ""2-35-1 Nezu, Bunkyo-ku, Tokyo, 113-0031, 日本"""
"Tachiguisushi Sushikawa, ""1-62-6 Sasazuka, Shibuya-ku, Tokyo, 151-0073, 日本"""
"Ramen Break Beats, ""4-21-19 Meguro, Meguro-ku, Tokyo, 153-0063, 日本"""
"Kuhara, ""2-25-38 Higashi, Shibuya-ku, Tokyo, 150-0011, 日本"""
"roku, ""4-1-6 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"""
"Katsuyoshi, ""3-4-11 Nihombashiningyocho, Chuo-ku, Tokyo, 103-0013, 日本"""
"Katchar Batchar, ""2F, 3-2-10 Minamiotsuka, Toshima-ku, Tokyo, 170-0005, 日本"""
"HARU CHAN Ramen, ""1F, Shimbashi Ekimae Ichigokan, 2-20-15 Shimbashi, Minato-ku, Tokyo, 105-0004, 日本"""
"LA BETTOLA da Ochiai, ""1-21-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Ginza Katsukami, ""5F, 5-6-10 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Negima, ""B1F, 2-31-19 Kitaotsuka, Toshima-ku, Tokyo, 170-0004, 日本"""
"BISTRO GLOUTON, ""2-33-7 Ikejiri, Setagaya-ku, Tokyo, 154-0001, 日本"""
"Sushi Yoshino, ""B1F, 2-30-2 Chuo, Nakano-ku, Tokyo, 164-0011, 日本"""
"TRATTORIA BUCA'MASSIMO, ""1-24-11 Tomioka, Koto-ku, Tokyo, 135-0047, 日本"""
"Ponta Honke, ""3-23-3 Ueno, Taito-ku, Tokyo, 110-0005, 日本"""
"Sharikimon Chawambu, ""3-22 Arakicho, Shinjuku-ku, Tokyo, 160-0007, 日本"""
"Soba Osame, ""3-21-5 Shimochiai, Shinjuku-ku, Tokyo, 161-0033, 日本"""
"CHARCUT, ""B1F, 1-11-5 Toranomon, Minato-ku, Tokyo, 105-0001, 日本"""
"Tonkatsu Enraku, ""6-1-4 Ikegami, Ota-ku, Tokyo, 146-0082, 日本"""
"Onigiri Asakusa Yadoroku, ""3-9-10 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"""
"Meishan, ""37-39 Yokoteramachi, Shinjuku-ku, Tokyo, 162-0831, 日本"""
"Tonkatsu Hinata, ""2-13-9 Takadanobaba, Shinjuku-ku, Tokyo, 169-0075, 日本"""
"Matsunozushi, ""2-16-12 Minaminagasaki, Toshima-ku, Tokyo, 171-0052, 日本"""
"Mochibuta Tonkatsu Taiyo, ""3-22-7 Koyama, Shinagawa-ku, Tokyo, 142-0062, 日本"""
"Hamacho Kaneko, ""3-7-3 Nihombashihamacho, Chuo-ku, Tokyo, 103-0007, 日本"""
"Lien, ""3-5-22 Ikejiri, Setagaya-ku, Tokyo, 154-0001, 日本"""
"jeeten, ""3-2-3 Nishihara, Shibuya-ku, Tokyo, 151-0066, 日本"""
"Hashimoto, ""2-5-7 Suido, Bunkyo-ku, Tokyo, 112-0005, 日本"""
"LANBRoA, ""3-11-15 Yoga, Setagaya-ku, Tokyo, 158-0097, 日本"""
"Los Reyes Magos, ""5-55-7 Yoyogi, Shibuya-ku, Tokyo, 151-0053, 日本"""
"L'AS, ""4-16-3 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"""
"Le Nougat, ""6-12-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Hakodate Shioramen Goryokaku, ""3-28-7 Amanuma, Suginami-ku, Tokyo, 167-0032, 日本"""
"RAMEN MATSUI, ""4-25-10 Yotsuya, Shinjuku-ku, Tokyo, 160-0004, 日本"""
"Shiosoba Jiku, ""4-14-7 Takaidohigashi, Suginami-ku, Tokyo, 168-0072, 日本"""
"AUDACE, ""3-8-1 Kamimeguro, Meguro-ku, Tokyo, 153-0051, 日本"""
"Sushi Mikata, ""4-1-4 Mita, Minato-ku, Tokyo, 108-0073, 日本"""
"Tensuke, ""3-22-7 Koenjikita, Suginami-ku, Tokyo, 166-0002, 日本"""
"Chukasoba Ginza Hachigou, ""3-14-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"IL BALLOND'ORO, ""1-24-10 Ebisu, Shibuya-ku, Tokyo, 150-0013, 日本"""
"sugahara, ""2F, 2-14-1 Kotobashi, Sumida-ku, Tokyo, 130-0022, 日本"""
"Asakusa Hirayama, ""1-3-14 Nishiasakusa, Taito-ku, Tokyo, 111-0035, 日本"""
"noura, ""4-10-6 Asakusa, Taito-ku, Tokyo, 111-0032, 日本"""
"Tompachitei, ""4-3-4 Ueno, Taito-ku, Tokyo, 110-0005, 日本"""
"Chukasoba KOTETSU, ""2-39-13 Kitazawa, Setagaya-ku, Tokyo, 155-0031, 日本"""
"Soba Tajima, ""3-8-6 Nishiazabu, Minato-ku, Tokyo, 106-0031, 日本"""
"AlCeppo, ""2F, 1-25-32 Shirokane, Minato-ku, Tokyo, 108-0072, 日本"""
"Sosakumenkobo NAKIRYU, ""2-34-4 Minamiotsuka, Toshima-ku, Tokyo, 170-0005, 日本"""
"DIALOGUE, ""3-23-21 Kitazawa, Setagaya-ku, Tokyo, 155-0031, 日本"""
"YAMATO, ""16-3 Nihombashitomizawacho, Chuo-ku, Tokyo, 103-0006, 日本"""
"LAUBURU, ""6-8-18 Minamiaoyama, Minato-ku, Tokyo, 107-0062, 日本"""
"Ramenya Toy Box, ""1-1-3 Higashinippori, Arakawa-ku, Tokyo, 116-0014, 日本"""
"Sugita, ""3-8-3 Kotobuki, Taito-ku, Tokyo, 111-0042, 日本"""
"Katsuo Shokudo, ""B1F, 7-12 Uguisudanicho, Shibuya-ku, Tokyo, 150-0032, 日本"""
"Mejiro Zorome, ""B1F, 3-3-1 Mejiro, Toshima-ku, Tokyo, 171-0031, 日本"""
"Ittoan, ""2-16-10 Higashijujo, Kita-ku, Tokyo, 114-0001, 日本"""
"Sennomago, ""4-4-2 Nishiogikita, Suginami-ku, Tokyo, 167-0042, 日本"""
"Kyorakutei, ""3-6 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, 日本"""
"ARROCERÍA La Panza, ""1-15-8 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Shinjiko Shijimi Chukasoba Kohaku, ""2-1-3 Nishirokugo, Ota-ku, Tokyo, 144-0056, 日本"""
"Arrocería Sal y Amor, ""B1F, 12-19 Daikanyamacho, Shibuya-ku, Tokyo, 150-0034, 日本"""
"falò, ""B1F, 14-10 Daikanyamacho, Shibuya-ku, Tokyo, 150-0034, 日本"""
"HOPPERS, ""7-1 Nihombashikabutocho, Chuo-ku, Tokyo, 103-0026, 日本"""
"Mono, ""2-8-12 Shibuya, Shibuya-ku, Tokyo, 150-0002, 日本"""
"Hibino Chukashokudo, ""1-33-11 Uehara, Shibuya-ku, Tokyo, 151-0064, 日本"""
"Osteria da K. [káppa], ""5F, 8-7-2 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"SANTOSHAM, ""2F, 3-2 Kandaogawamachi, Chiyoda-ku, Tokyo, 101-0052, 日本"""
"Hong Fan Qie (Yuyuantan South Road),""36 Cui Wei South Lane, Yuyuantan South Road, Haidian, Beijing, 中國"""
"Bistrot Vivienne, ""4-13-19 Ginza, Chuo-ku, Tokyo, 104-0061, 日本"""
"Pang Mei Noodles (Xiang'er Hutong),""Xiang'er Hutong, 69 Dongsi North Street, Dongcheng, Beijing, 中國"""
"Jing Hua Lou,""No. 202, 2F, Building 111, Huizhong North Lane, Datun North Road, Chaoyang, Beijing, 中國"""
"Yu Hua Tai (Xicheng),""Building 23, Yuzhongxili Residence, Yumin Road, Xicheng, Beijing, 中國"""
"Tong He Ju (Yuetan South Street),""71A Yuetan South Street, Sanlihe, Xicheng, Beijing, 中國"""
"Zhong,""37 Gulou West Street, Xicheng, Beijing, 中國"""
"Niujie Halal Man Heng Ji,""14 Ping'anli West Street, Xicheng, Beijing, 中國"""
"The Red Chamber,""4F, China World Summit Wing, 1 Jianguomenwai Street, Chaoyang, Beijing, 中國"""
"Yibin,""28 Xizhong Hutong, Xicheng, Beijing, 中國"""
"Blossom Vegetarian (Dongcheng),""144 Dongzhimennei Street, Dongcheng, Beijing, 中國"""
"Tianchumiaoxiang Vegetarian (Chaoyang),""0260, Section D, 2F, Chaowai SOHO, Chaowai Street, Chaoyang, Beijing, 中國"""
"Jingyi (Liulichang East Street),""2 Liulichang East Street, Xicheng, Beijing, 中國"""
"Qiantang Garden,""59 Shuangyushu North Road, Haidian, Beijing, 中國"""
"Gong De Lin,""2 Qianmen East Street, Dongcheng, Beijing, 中國"""
"Lao Chuan Ban,""5 Gongyuan 1st Alley, Dongzongbu Hutong, Dongcheng, Beijing, 中國"""
"Bao Yuan,""North side of Building 6, Maizidian Street, Chaoyang, Beijing, 中國"""
"Rong Cuisine (Baiziwan South Er Road),""77 Baiziwan South Er Road, Chaoyang, Beijing, 中國"""
"Ladychai,""Building 21, Ganjiakou Residence, Ganjiakou North Street, Haidian, Beijing, 中國"""
"Fujian Cuisine (Dongsanhuan North Road), ""110-111, Kaidexingmao, 26A Dongsanhuan North Road, Chaoyang, Beijing, 中國"""
"Niemeijer,""Akerkstraat 20, Groningen, 9612 BE, 荷蘭"""
"Bao Du Jin Sheng Long (Ande Road),""Lane 1, Liupukang, Ande Road, Xicheng, Beijing, 中國"""
"No. 69 Fangzhuanchang Zhajiangmian (Fangzhuanchang Hutong),""1 Fangzhuanchang Hutong, Dongcheng, Beijing, 中國"""
"Alba,""Wibautstraat 105H, Amsterdam, 1091 GL, 荷蘭"""
"De Voorburcht,""Adelaarshoek 18, Hattem, 8051 GR, 荷蘭"""
"Groenewoud,""Groesbeekseweg 227, Nijmegen, 6523 NW, 荷蘭"""
"Bouwkunde,""Klooster 2, Deventer, 7411 NH, 荷蘭"""
"Nova,""Rottekade 31, Bergschenhoek, 2661 JN, 荷蘭"""
"Wils Bakery Café,""Stadionplein 24, Amsterdam, 1076 CM, 荷蘭"""
"L'Auberge,""Von Dopfflaan 10, Maastricht, 6213 NG, 荷蘭"""
"Chef aan de Werf,""Mussenstraat 11, Hilversum, 1223 RB, 荷蘭"""
"De Grote Frederik Bistro,""Frederiksplein 7, Groningen, 9724 NH, 荷蘭"""
"La Fleurie,""Rijkesluisstraat 4, Oirschot, 5688 ED, 荷蘭"""
"De Beleving, ""Hertog Hendrikstraat 6, Sint-Oedenrode, 5492 BB, 荷蘭"""
"Bistro,""Botersloot 1, Noordeloos, 4225 PR, 荷蘭"""
"Vineum,""Eendrachtsweg 23, Rotterdam, 3012 LB, 荷蘭"""
"Le Vieux Jean,""Heilige Geestkerkhof 3, Delft, 2611 HP, 荷蘭"""
"De Uitkijk,""Hellendoornsebergweg 8, Hellendoorn, 7447 PA, 荷蘭"""
"Tapisco,""Kneuterdijk 11, Den Haag, 2514 EM, 荷蘭"""
"Pouwe,""Bovenstraat 4, Hoeven, 4741 AV, 荷蘭"""
"De Lindeboom New Style,""Burg. Janssenstraat 13, Beek, 6191 JB, 荷蘭"""
"Héron,""Schalkwijkstraat 26, Utrecht, 3512 KS, 荷蘭"""
"Bij Erik,""Sluisplein 11, Leidschendam, 2266 AV, 荷蘭"""
"Rijsel,""Marcusstraat 52b, Amsterdam, 1091 TK, 荷蘭"""
"Alma Bodega,""De Lind 45A, Oisterwijk, 5061 HT, 荷蘭"""
"DiVino,""Kerkstraat 27, Hapert, 5527 EE, 荷蘭"""
"Marie,""Nieuwe Doelenstraat 2, Amsterdam, 1012 AC, 荷蘭"""
"Bistro TWO,""Roerkade 11, Roermond, 6041 KZ, 荷蘭"""
"Dokjard,""Noorderhaven 63, Groningen, 9712 VJ, 荷蘭"""
"Sea Palace,""Oosterdokskade 8, Amsterdam, 1011 AE, 荷蘭"""
"Bistrobar Berlin,""Daalseweg 15, Nijmegen, 6521 GE, 荷蘭"""
"Brasserij Kok Verhoeven,""NS Plein 32, Tilburg, 5014 DC, 荷蘭"""
"Rotonde,""Goudsesingel 230, Rotterdam, 3011 KE, 荷蘭"""
"Restaurant Blauw,""Springweg 64, Utrecht, 3511 VT, 荷蘭"""
"Escobar,""Spuiplein 15, Breskens, 4511 AN, 荷蘭"""
"Spandershoeve,""Bussumergrintweg 46, Hilversum, 1217 BS, 荷蘭"""
"Hofstede de Blaak,""Dussenpad 1, Tilburg, 5032 WL, 荷蘭"""
"Umami by Han,""Binnenrotte 140, Rotterdam, 3011 HC, 荷蘭"""
"Zilt & Zoet,""Dorpsweg 153, Maartensdijk, 3738 CD, 荷蘭"""
"Uit de Kunst,""Vijlenberg 76, Vijlen, 6294 AZ, 荷蘭"""
"Publique,""Anna Paulownaplein 4, Den Haag, 2518 BK, 荷蘭"""
"Asian Glories,""Westewagenstraat 74, Rotterdam, 3011 AT, 荷蘭"""
"HAVN,""Oude Doelenkade 7, Hoorn, 1621 BH, 荷蘭"""
"De Basiliek,""Korte Houtstraat 4a, Den Haag, 2511 CD, 荷蘭"""
"De Schans by Mike & Wes,""Willeskop 87, Montfoort, 3417 MC, 荷蘭"""
"De Aubergerie,""Kamp 88, Amersfoort, 3811 AT, 荷蘭"""
"Gym & Gin,""Kralingseweg 224, Rotterdam, 3062 CG, 荷蘭"""
"LEV by Mike,""Badweg 4, Winterswijk, 7102 EG, 荷蘭"""
"MOUT & HOUT,""Jan Smuldersstraat 24, Vessem, 5512 AZ, 荷蘭"""
"Fa. Pekelhaaring,""Van Woustraat 127, Amsterdam, 1074 AH, 荷蘭"""
"Lazuur,""Purmerplein 8, Amsterdam, 1023 BD, 荷蘭"""
"Oriole,""Oudezijds Voorburgwal 197, Amsterdam, 1012 EX, 荷蘭"""
"Waers,""Bakkerstraat 30, Roermond, 6041 JR, 荷蘭"""
"Café Visscher,""Stationsweg 7, Leiden, 2312 AS, 荷蘭"""
"Te Koop in Tilburg,""Jan Pieterszoon Coenstraat 71, Tilburg, 5018 CP, 荷蘭"""
"De Wilg, ""Sint-Antoniusstraat 30, De Mortel, 5425 VE, 荷蘭"""
"Bij Mette,""Dorpstraat 41, Linschoten, 3461 CP, 荷蘭"""
"Tabkeaw,""Rechtstraat 102, Maastricht, 6221 EL, 荷蘭"""
"Bovenmeester,""Woldpoort 57, Steenwijk, 8331 KP, 荷蘭"""
"Auberge, ""Albert Cuypstraat 58, Amsterdam, 1072 CV, 荷蘭"""
"Boompjes,""Irenestraat 1, Overloon, 5825 CA, 荷蘭"""
"Landgoed de Holtweijde,""Spiekweg 7, Lattrop, 7635 LP, 荷蘭"""
"Promessa,""Markt 3, Eersel, 5521 AJ, 荷蘭"""
"De Watergeus,""Simon van Capelweg 10, Noorden, 2431 AG, 荷蘭"""
"De Witte Gans,""Heinoseweg 30, Dalfsen, 7722 JP, 荷蘭"""
"Raedthuys,""Raadhuisstraat 14, Doetinchem, 7001 EW, 荷蘭"""
"Bistro Nijeholt,""Van Harinxmaweg 10, Beetsterzwaag, 9244 CJ, 荷蘭"""
"Lucie Cocina,""Kleine Berg 34b, Eindhoven, 5611 JV, 荷蘭"""
"LEV Foodbar,""Waterstraat 28, Doetinchem, 7001 BH, 荷蘭"""
"Bistro Aragosta,""Voorstreek 12, Leeuwarden, 8911 JN, 荷蘭"""
"A, ""Zeedijk 130, Amsterdam, 1012 BC, 荷蘭"""
"Café Samabe,""Korte Veerstraat 1, Haarlem, 2011 CL, 荷蘭"""
"Basaal,""Dunne Bierkade 3, Den Haag, 2512 BC, 荷蘭"""
"Scheepskameel,""Kattenburgerstraat 7, gebouw 24, Amsterdam, 1018 JA, 荷蘭"""
"Huson,""Scheepstimmermanslaan 14, Rotterdam, 3011 BS, 荷蘭"""
"Restaurant ñ,""Nobelstraat 22, Den Haag, 2513 BD, 荷蘭"""
"Serre,""Ferdinand Bolstraat 333, Amsterdam, 1072 LH, 荷蘭"""
"Bistrot Regent,""Hertogstraat 71, Nijmegen, 6511 RW, 荷蘭"""
"Restaurant élevé,""Heliconweg 52, Leeuwarden, 8914 AT, 荷蘭"""
"Bistrôt Chapeau,""Huizerweg 1, Blaricum, 1261 AR, 荷蘭"""
"De Watermolen,""H. Avelinghstraat 154, Velp, 6881 VW, 荷蘭"""
"Resumé by 6&24,""Bierkade 16A, Den Haag, 2512 AB, 荷蘭"""
"Wielinga,""Nieuwe Rijn 28, Leiden, 2312 JD, 荷蘭"""
"Gary’s,""1485 W. 12th Ave, Vancouver, V6H 1M6, 加拿大"""
"Seaport City Seafood,""2425 Cambie St., Vancouver, V5Z 4M5, 加拿大"""
"Karma Indian Bistro,""2741 W. 4th Ave., Vancouver, V6K 1P9, 加拿大"""
"Senang,""Samuël Hirschstraat 1, Zwolle, 8011 PT, 荷蘭"""
"Motonobu Udon,""3501 E. Hastings St., Vancouver, V5K 0E5, 加拿大"""
"Gitane,""Jan Pieter Heijestraat 146, Amsterdam, 1054 MK, 荷蘭"""
"Sushi Hil,""3330 Main St., Vancouver, V5V 3M7, 加拿大"""
"Farmer's Apprentice,""1535 W. 6th Ave., Vancouver, V6J 1R1, 加拿大"""
"Fable Kitchen,""1944 W. 4th Ave., Vancouver, V6J 1M5, 加拿大"""
"Magari by Oca,""1260 Commercial Dr., Vancouver, V5L 2T6, 加拿大"""
"Song (by Kin Kao),""317 E. Broadway, Vancouver, V5T 1W5, 加拿大"""
"Chupito,""322 W. Hastings St., Vancouver, V6B 1K6, 加拿大"""
"Say Mercy!,""4298 Fraser St., Vancouver, V5V 4G2, 加拿大"""
"Anh and Chi,""3388 Main St., Vancouver, V5V 3M7, 加拿大"""
"Lunch Lady,""1046 Commercial Dr., Vancouver, V5L 3W9, 加拿大"""
"Phnom Penh,""244 E. Georgia St., Vancouver, V6A 1Z7, 加拿大"""
"Berkeley North,""31 King William St., Hamilton, L8R 1A1, 加拿大"""
"Vij's,""3106 Cambie St., Vancouver, V5Z 2W2, 加拿大"""
"Little Bird Dim Sum + Craft Beer,""2958 W. 4th Ave., Vancouver, V6K 1R4, 加拿大"""
"Bar Raval,""505 College St., Toronto, M6G 1A5, 加拿大"""
"Grey Gardens,""199 Augusta Ave., Toronto, M5T 2L4, 加拿大"""
"Favorites Thai,""141 Ossington Ave., Toronto, M6J 2Z6, 加拿大"""
"Enoteca Sociale,""1288 Dundas St. W., Toronto, M6J 1X7, 加拿大"""
"Sunnys Chinese,""60 Kensington Ave., Toronto, M5T 2K1, 加拿大"""
"SumiLicious Smoked Meat & Deli,""5631 Steeles Ave., #5, Toronto, M1V 5P6, 加拿大"""
"Guru Lukshmi,""7070 St. Barbara Blvd., Mississauga, L5W 0E6, 加拿大"""
"La Bartola,""588 College St., Toronto, M6G 1B3, 加拿大"""
"Wynona,""819 Gerrard St. E., Toronto, M4M 1Y8, 加拿大"""
"White Lily Diner,""678 Queen St. E., Toronto, M4M 1G8, 加拿大"""
"Cherry Street Bar, ""275 Cherry St., Toronto, M5A 3L3, 加拿大"""
"Chica's Chicken,""2853 Dundas St. W., Toronto, M6P 1Y6, 加拿大"""
"Tiflisi,""1970 Queen St. E., Toronto, M4L 1H8, 加拿大"""
"Puerto Bravo,""1425 Gerrard St. E., Toronto, M4L 1Z7, 加拿大"""
"Alma,""1194 Bloor St. W., Toronto, M6H 1N2, 加拿大"""
"Campechano,""504 Adelaide St., Toronto, M5V 1T4, 加拿大"""
"The Ace,""231A Roncesvalles Ave., Toronto, M5R 2L6, 加拿大"""
"Conejo Negro,""838 College St., Toronto, M6H 1A2, 加拿大"""
"BB's,""5 Brock Ave., Toronto, M6K 2K6, 加拿大"""
"Indian Street Food Company,""1701 Bayview Ave., Toronto, M4G 3C1, 加拿大"""
"Rasa,""196 Robert St., Toronto, M5S 2K7, 加拿大"""
"R&D,""241 Spadina Ave., Toronto, M5T 2E2, 加拿大"""
"La Diabla Pozole y Mezcal,""2233 Larimer St., Denver, 80205, 美國"""
"MAKfam,""39 W. 1st Ave., Denver, 80223, 美國"""
"Glo Noodle House,""4450 W. 38th Ave., Denver, 80212, 美國"""
"Basta,""3601 Arapahoe Ave., Boulder, 80303, 美國"""
"Ash'Kara,""2005 W. 33rd Ave., Denver, 80211, 美國"""
"The Ginger Pig,""4262 Lowell Blvd., Denver, 80211, 美國"""
"Hop Alley,""3500 Larimer St., Denver, 80205, 美國"""
"Mister Oso,""3163 Larimer St., Denver, 80205, 美國"""
"Tavernetta,""1889 16th St. Mall, Denver, 80202, 美國"""
"Chen Mapo Tofu (Qinghua Road), ""No.10-12, 10 Qinghua Road, Qingyang, Chengdu, 中國"""
"Wan San Mian Guan (Jinjiang),""No.1, 131 Qinglongzheng Street, Jinjiang, Chengdu, 中國"""
"Wu Ji Guai Wei Mian (Jinjiang), ""108-11, Section 5, Yi Huan East Road, Jinjiang, Chengdu, 中國"""
"Lao Chengdu San Yang Mian, ""No. 6-8, 46 Guojielou Street, Qingyang, Chengdu, 中國"""
"The Woo's, ""39-17 Hongji Middle Road, Jinjiang, Chengdu, 中國"""
"Hu Er Ge Yao Shan Ti Hua, ""146-19, Section 1, Yi Huan West Road, Qingyang, Chengdu, 中國"""
"Nian Feng Restaurant, ""56-3 Nianfeng Alley, Jinjiang, Chengdu, 中國"""
"Yangboying Za Jiang Mian, ""19-13 Tongsi Road, Qingyang, Chengdu, 中國"""
"Ting Yuan 399 (Jinjiang),""399 Jingjusi, Jinjiang, Chengdu, 中國"""
"Gan Ji Fei Chang Fen (Jinniu), ""No. 1-3, 18 Ma'an North Road, Jinniu, Chengdu, 中國"""
"Rongrong Beida Pugaimian, ""No. 2-4, Section 2, Jiefang Road, Jinniu, Chengdu, 中國"""
"Zhuan Zhuan Hui (Lianhua South Road),""27 Lianhua South Road, Jinjiang, Chengdu, 中國"""
"Dumpling & Drinks (Lanchao Road),""16 Lanchao Road, Wuhou, Chengdu, 中國"""
"Shudidanggui (Wuhou), ""34-25 Shiwuzhong Street, Wuhou, Chengdu, 中國"""
"Organization South,""No. 209, Block 1, Pebble Walk, 669 Wanxiang South Road, Wuhou, Chengdu, 中國"""
"Zhu Ji Zhi Mian Pu,""194 Yixinqiao South Street, Jinjiang, Chengdu, 中國"""
"Guan Jin (Wuhou),""4F, Block 5, Think Zone, 19 Chenghan South Road, Wuhou, Chengdu, 中國"""
"Rong Yuan Can Guan, ""10-2 Shuhan Street, Wuhou, Chengdu, 中國"""
"Yongle Restaurant (Wuhou),""36 Xiaojiahe Middle Road, Wuhou, Chengdu, 中國"""
"Gong Zhou · Ba Shu Wei Yuan, ""64-6 Junlong Street, Jinjiang, Chengdu, 中國"""
"Yao Guai Mian,""49 Longzhou East Alley, Jinjiang, Chengdu, 中國"""
"Mind,""85 Longyang Street, Wuhou, Chengdu, 中國"""
"Mosnack, ""Shop L101-1-A, Shimao 52+ Mini Mall, 99 Mengzhuiwan Bystreet, Chenghua, Chengdu, 中國"""
"金賞軒,""松山區敦化北路155巷111號, Taipei, 臺灣"""
"一甲子餐飲,""萬華區康定路79號, Taipei, 108, 臺灣"""
"好朋友涼麵,""士林區大南路31號 (士林夜市), Taipei, 臺灣"""
"繡球,""西區中興街102號, Taichung, 臺灣"""
"上海未名麵點,""中區市府路69號, Taichung, 400, 臺灣"""
"貳哥食堂,""鼓山區青海路145號, Kaohsiung, 臺灣"""
"前金肉燥飯,""前金區大同二路26號, Kaohsiung, 臺灣"""
"春蘭割包,""新興區復興一路5號, Kaohsiung, 臺灣"""
"無名推車燒餅,""中正區中華路二段311巷74號攤 (南機場夜市), Taipei, 臺灣"""
"葉家小卷米粉,""中西區國華街二段142號, Tainan, 臺灣"""
"醉月樓,""中區中山路20號2樓 (宮原眼科), Taichung, 臺灣"""
"咕嚕咕嚕原住民音樂餐廳,""西區五權西四街13巷2號, Taichung, 臺灣"""
"松竹園,""士林區永公路546號, Taipei, 臺灣"""
"昭明海產家庭料理,""前金區自強一路53號, Kaohsiung, 臺灣"""
"廖記米糕,""橋頭區橋南路119號, Kaohsiung, 臺灣"""
"黃家蝦捲,""中西區西和路268號, Tainan, 臺灣"""
"HUGH dessert dining,""大同區重慶北路3段136巷56號, Taipei, 臺灣"""
"馨苑 (西區),""西區民生北路106號, Taichung, 403, 臺灣"""
"滬舍餘味 (南屯),""南屯區公益路二段537號, Taichung, 408, 臺灣"""
"謝掌櫃,""安平區運河路23巷5號, Tainan, 臺灣"""
"誠實鍋燒意麵,""中西區西門路一段702巷12號, Tainan, 臺灣"""
"雄記蔥抓餅,""中正區羅斯福路四段108巷2號 (公館夜市), Taipei, 臺灣"""
"楊寶寶蒸餃 (朝明路),""楠梓區朝明路106號, Kaohsiung, 814, 臺灣"""
"雙月食品 (青島東路),""中正區青島東路6之2號, Taipei, 100, 臺灣"""
"老新台菜 (九如二路),""三民區九如二路227號, Kaohsiung, 臺灣"""
"范記金之園 (中區),""中區成功路170號, Taichung, 400, 臺灣"""
"泰姬,""大安區市民大道四段48巷1號, Taipei, 106, 臺灣"""
"番紅花印度美饌,""士林區天母東路38之6號, Taipei, 111, 臺灣"""
"清真中國牛肉麵食館 (大安),""大安區延吉街137巷7弄1號, Taipei, 106, 臺灣"""
"磐石坊,""大安區樂利路15號, Taipei, 臺灣"""
"賣麵炎仔,""大同區安西街106號, Taipei, 103, 臺灣"""
"北港蔡三代筒仔米糕 (鹽埕),""鹽埕區河西路166號, Kaohsiung, 臺灣"""
"黑琵食堂,""七股區十份里海埔17之18號, Tainan, 臺灣"""
"夜間部爌肉飯,""西區精誠路109號, Taichung, 臺灣"""
"欣葉小聚,""南港區經貿二路166號 (中國信託金融園區A棟), Taipei, 115, 臺灣"""
"吾旺再季,""中正區中華路二段313巷29號 (南機場夜市), Taipei, 100, 臺灣"""
"巷子龍家常菜,""大安區四維路25號, Taipei, 臺灣"""
"鮮魚鱻,""北區北屯路75號, Taichung, 臺灣"""
"曙光居,""西屯區大墩18街104號, Taichung, 臺灣"""
"裡小樓,""西屯區西屯路２段293巷50號, Taichung, 臺灣"""
"醉楓園小館,""松山區八德路三段8巷5號, Taipei, 105, 臺灣"""
"阿星鹹粥,""中西區民族路三段289號, Tainan, 臺灣"""
"隱食家,""中山區雙城街28巷8號, Taipei, 臺灣"""
"弘記肉燥飯舖,""左營區立文路96號, Kaohsiung, 臺灣"""
"富狀元豬腳,""西區美村路一段203號, Taichung, 403, 臺灣"""
"一味品, ""中西區國華街三段177-179號 (永樂市場攤號111及112), Tainan, 臺灣"""
"茂園,""中山區長安東路二段185號, Taipei, 104, 臺灣"""
"富貴亭,""中區三民路二段18巷31號, Taichung, 400, 臺灣"""
"西羅殿牛肉湯,""北區公園南路98號, Tainan, 臺灣"""
"侯記鴨肉飯,""三民區自強一路201號, Kaohsiung, 臺灣"""
"天下三絕,""大安區仁愛路四段27巷3號, Taipei, 106, 臺灣"""
"開元紅燒土魠魚羮,""北區開元路307號, Tainan, 臺灣"""
"元味料理,""大同區華陰街227巷2號, Taipei, 臺灣"""
"老爺美食館 (鳳山), ""鳳山區海洋一路54-56號, Kaohsiung, 臺灣"""
